BA Rating,Title,Title,Year,Length,Genres,Average Rating,Votes
7.270537619,Peranbu,Peranbu,2018,147,Drama,9.2,10531
7.226714685,Ratsasan,Ratsasan,2018,170,"Action,Crime,Thriller",8.7,12294
7.220479816,96,96,2018,158,"Drama,Romance",8.7,12030
8.4,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.5,719146
7.081560813,Vada Chennai,Vada Chennai,2018,164,"Action,Crime",8.6,7115
8.2,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation",8.4,269769
7.6,Andhadhun,Andhadhun,2018,139,"Crime,Thriller",8.4,50809
7.435920898,Capernaum,Capharnaüm,2018,126,Drama,8.4,29714
7.08144806,Mahanati,Mahanati,2018,177,"Biography,Drama",8.5,7612
7.273749069,Won't You Be My Neighbor?,Won't You Be My Neighbor?,2018,94,"Biography,Documentary",8.4,18185
7.240453664,Rangasthalam,Rangasthalam,2018,170,"Action,Drama",8.4,16217
7.262475328,They Shall Not Grow Old,They Shall Not Grow Old,2018,99,"Documentary,History,War",8.3,19193
8.0,Green Book,Green Book,2018,130,"Biography,Comedy,Drama",8.2,252993
7.453223025,Free Solo,Free Solo,2018,100,"Adventure,Documentary,Sport",8.2,39527
7.05059261,South Wind,Juzni vetar,2018,130,"Crime,Drama,Thriller",8.3,7399
7.326878203,K.G.F: Chapter 1,K.G.F: Chapter 1,2018,156,"Action,Drama",8.2,26521
7.192064828,Tumbbad,Tumbbad,2018,104,"Drama,Fantasy,Horror",8.2,16239
7.13312243,The Wild Pear Tree,Ahlat Agaci,2018,188,Drama,8.1,13859
7.9,Bohemian Rhapsody,Bohemian Rhapsody,2018,134,"Biography,Drama,Music",8,388400
7.365083917,Shoplifters,Manbiki kazoku,2018,121,"Crime,Drama",8,39501
7.206914491,Badhaai Ho,Badhaai Ho,2018,124,"Comedy,Drama",8,21581
7.153889683,Padman,Padman,2018,140,"Comedy,Drama",8,17073
7.065537508,Müslüm,Müslüm,2018,136,"Biography,Drama,Music",8,10698
7.6,Isle of Dogs,Isle of Dogs,2018,101,"Adventure,Animation,Comedy",7.9,116187
7.007586321,Active Measures,Active Measures,2018,109,Documentary,8,7133
7.143787879,Dragon Ball Super: Broly,Doragon bôru chô: Burorî,2018,100,"Action,Adventure,Animation",7.9,18430
7.6,Mission: Impossible - Fallout,Mission: Impossible - Fallout,2018,147,"Action,Adventure,Thriller",7.8,250124
7.5,Roma,Roma,2018,135,Drama,7.8,115404
7.293982419,Sanju,Sanju,2018,155,"Biography,Drama",7.8,42488
7.133325162,Raazi,Raazi,2018,138,"Action,Drama,Thriller",7.8,20115
7.06609799,Ölümlü Dünya,Ölümlü Dünya,2018,107,"Action,Comedy",7.8,13660
7.6,Deadpool 2,Deadpool 2,2018,119,"Action,Adventure,Comedy",7.7,420985
7.6,A Star Is Born,A Star Is Born,2018,136,"Drama,Music,Romance",7.7,280715
7.5,Incredibles 2,Incredibles 2,2018,118,"Action,Adventure,Animation",7.7,217516
7.4,Searching,Searching,2018,102,"Drama,Mystery,Thriller",7.7,111817
6.966989219,Goodachari,Goodachari,2018,147,"Action,Thriller",7.8,6044
7.123466758,Stree,Stree,2018,128,"Comedy,Horror",7.7,22399
7.087920664,Parmanu: The Story of Pokhran,Parmanu: The Story of Pokhran,2018,129,"Action,Drama,History",7.7,18174
7.083947092,Three Identical Strangers,Three Identical Strangers,2018,96,"Biography,Documentary,Drama",7.7,17732
7.049594877,Bharat Ane Nenu,Bharat Ane Nenu,2018,173,"Action,Drama",7.7,14136
6.986642383,Never Look Away,Werk ohne Autor,2018,189,"Drama,History,Romance",7.7,8445
7.4,The Favourite,The Favourite,2018,119,"Biography,Drama,History",7.6,133933
6.964978361,Geetha Govindam,Geetha Govindam,2018,142,"Drama,Romance",7.7,6712
7.3,"Love, Simon","Love, Simon",2018,110,"Comedy,Drama,Romance",7.6,86055
6.955453739,Aravindha Sametha Veera Raghava,Aravindha Sametha Veera Raghava,2018,162,"Action,Drama",7.7,5982
7.179369726,Cold War,Zimna wojna,2018,89,"Drama,History,Music",7.6,37393
7.159462981,Hotel Mumbai,Hotel Mumbai,2018,123,"Drama,History,Thriller",7.6,33428
7.136183757,Burning,Beoning,2018,148,"Drama,Mystery",7.6,29223
6.984629332,Happy as Lazzaro,Lazzaro felice,2018,128,"Drama,Fantasy",7.6,9625
7.4,A Quiet Place,A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",7.5,329157
6.950301613,Birds of Passage,Pájaros de verano,2018,125,"Crime,Drama",7.6,6456
7.4,Ready Player One,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",7.5,318183
7.4,BlacKkKlansman,BlacKkKlansman,2018,135,"Biography,Crime,Drama",7.5,166589
7.3,Upgrade,Upgrade,2018,100,"Action,Horror,Sci-Fi",7.5,117356
7.109858968,The Guilty,Den skyldige,2018,85,"Crime,Drama,Thriller",7.5,31344
6.981058232,October,October,2018,115,"Drama,Romance",7.5,11067
6.966133874,Karwaan,Karwaan,2018,114,"Comedy,Drama",7.5,9350
6.96245133,RBG,RBG,2018,98,"Biography,Documentary",7.5,8941
6.954297115,Hichki,Hichki,2018,116,"Comedy,Drama",7.5,8055
6.94946168,Butterflies,Kelebekler,2018,117,"Comedy,Drama",7.5,7542
7.129023604,Eighth Grade,Eighth Grade,2018,93,"Comedy,Drama",7.4,48689
7.070985186,Mid90s,Mid90s,2018,85,"Comedy,Drama",7.4,31218
7.044604084,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,2018,124,"Drama,History,Romance",7.4,25163
7.032817782,Mirage,Durante la tormenta,2018,128,"Drama,Mystery,Romance",7.4,22739
7.029139191,The Hate U Give,The Hate U Give,2018,133,"Crime,Drama",7.4,22014
7.017609336,Blindspotting,Blindspotting,2018,95,"Comedy,Crime,Drama",7.4,19832
6.976759472,Raid,Raid,2018,122,"Action,Crime,Drama",7.4,13058
6.970507816,I Can Only Imagine,I Can Only Imagine,2018,110,"Biography,Drama,Family",7.4,12135
6.96193404,Skin,Skin,2018,118,"Biography,Crime,Drama",7.4,10912
6.95691481,The American Meme,The American Meme,2018,98,Documentary,7.4,10218
6.937847488,The Purity of Vengeance,Journal 64,2018,119,"Crime,Mystery,Thriller",7.4,7719
7.3,Black Panther,Black Panther,2018,134,"Action,Adventure,Sci-Fi",7.3,547427
7.2,Hereditary,Hereditary,2018,127,"Drama,Horror,Mystery",7.3,177004
7.2,First Man,First Man,2018,141,"Biography,Drama,History",7.3,137147
7.2,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,2018,133,"Comedy,Drama,Musical",7.3,96575
7.1,Christopher Robin,Christopher Robin,2018,104,"Adventure,Comedy,Drama",7.3,58152
7.1,Instant Family,Instant Family,2018,118,"Comedy,Drama",7.3,56944
7.048302685,Beautiful Boy,Beautiful Boy,2018,120,"Biography,Drama",7.3,36270
7.021113518,Arif V 216,Arif V 216,2018,125,"Comedy,Sci-Fi",7.3,27825
6.972128381,Dogman,Dogman,2018,103,"Crime,Drama,Thriller",7.3,16145
6.950371782,The Tale,The Tale,2018,114,"Drama,Mystery,Thriller",7.3,12007
6.946906506,Private Life,Private Life,2018,123,"Comedy,Drama",7.3,11395
6.938888646,Gold,Gold,2018,151,"Drama,History,Sport",7.3,10024
6.934554869,Utøya: July 22,Utøya 22. juli,2018,93,"Drama,Thriller",7.3,9308
7.1,Black Mirror: Bandersnatch,Black Mirror: Bandersnatch,2018,90,"Drama,Mystery,Sci-Fi",7.2,98235
7.1,Vice,Vice,2018,132,"Biography,Comedy,Drama",7.2,90192
7.1,Creed II,Creed II,2018,130,"Drama,Sport",7.2,84290
7.1,To All the Boys I've Loved Before,To All the Boys I've Loved Before,2018,99,"Drama,Romance",7.2,68486
7.009325979,Leave No Trace,Leave No Trace,2018,109,Drama,7.2,37585
6.992720029,If Beale Street Could Talk,If Beale Street Could Talk,2018,119,"Drama,Romance",7.2,30540
6.971120172,Stan & Ollie,Stan & Ollie,2018,98,"Biography,Comedy,Drama",7.2,22906
6.91598751,Girl,Girl,2018,105,Drama,7.2,8685
6.905734657,Champions,Campeones,2018,124,"Comedy,Drama,Sport",7.2,6628
6.903601945,Love Per Square Foot,Love Per Square Foot,2018,133,"Comedy,Romance",7.2,6218
7.1,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,118,"Action,Adventure,Comedy",7.1,264136
7.0,Bad Times at the El Royale,Bad Times at the El Royale,2018,141,"Crime,Drama,Mystery",7.1,104047
7.0,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,122,"Action,Crime,Drama",7.1,104029
7.0,Ralph Breaks the Internet,Ralph Breaks the Internet,2018,112,"Adventure,Animation,Comedy",7.1,103947
6.964149209,The Christmas Chronicles,The Christmas Chronicles,2018,104,"Adventure,Comedy,Family",7.1,36008
6.964053184,Can You Ever Forgive Me?,Can You Ever Forgive Me?,2018,106,"Biography,Comedy,Crime",7.1,35947
6.958400671,Climax,Climax,2018,97,"Drama,Horror,Music",7.1,32502
6.926502836,Sonu Ke Titu Ki Sweety,Sonu Ke Titu Ki Sweety,2018,138,"Comedy,Romance",7.1,17269
6.904540951,Thunder Road,Thunder Road,2018,92,"Comedy,Drama",7.1,9671
7.0,Aquaman,Aquaman,2018,143,"Action,Adventure,Fantasy",7,306154
6.9,The Mule,The Mule,2018,116,"Crime,Drama,Thriller",7,76696
6.9,Den of Thieves,Den of Thieves,2018,140,"Action,Crime,Drama",7,74360
6.929282745,Tully,Tully,2018,95,"Comedy,Drama,Mystery",7,44347
6.925155617,The Sisters Brothers,Les frères Sisters,2018,122,"Comedy,Crime,Drama",7,39125
6.918379909,American Animals,American Animals,2018,116,"Biography,Crime,Drama",7,31697
6.91047601,Padmaavat,Padmaavat,2018,164,"Drama,History,Romance",7,24453
6.908945979,Dragged Across Concrete,Dragged Across Concrete,2018,159,"Action,Crime,Drama",7,23196
6.907440841,Everybody Knows,Todos lo saben,2018,133,"Crime,Drama,Mystery",7,22000
6.899357758,The Night Comes for Us,The Night Comes for Us,2018,121,"Action,Thriller",7,16189
6.898566615,Border,Gräns,2018,110,"Crime,Drama,Fantasy",7,15670
6.886226406,Mirai,Mirai no Mirai,2018,98,"Adventure,Animation,Drama",7,8509
6.883474694,Blackmail,Blackmail,2018,138,"Comedy,Thriller",7,7119
6.882398363,Shadow,Ying,2018,116,"Action,Drama,War",7,6593
6.882106453,El Angel,El Ángel,2018,118,"Biography,Crime,Drama",7,6452
6.880881816,Sink or Swim,Le grand bain,2018,122,"Comedy,Drama,Sport",7,5868
6.880826702,Then Came You,Then Came You,2018,97,"Adventure,Comedy,Drama",7,5842
6.9,Annihilation,Annihilation,2018,115,"Adventure,Drama,Horror",6.9,242396
6.9,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135,"Action,Adventure,Fantasy",6.9,239985
6.9,Game Night,Game Night,2018,100,"Action,Comedy,Crime",6.9,172662
6.9,Crazy Rich Asians,Crazy Rich Asians,2018,120,"Comedy,Drama,Romance",6.9,110645
6.9,Widows,Widows,2018,129,"Crime,Drama,Thriller",6.9,71527
6.883184819,Outlaw King,Outlaw King,2018,121,"Action,Biography,Drama",6.9,48465
6.882933882,Sorry to Bother You,Sorry to Bother You,2018,112,"Comedy,Fantasy,Sci-Fi",6.9,47012
6.877287522,Boy Erased,Boy Erased,2018,115,"Biography,Drama",6.9,22807
6.876249317,At Eternity's Gate,At Eternity's Gate,2018,111,"Biography,Drama",6.9,19609
6.875425987,Wildlife,Wildlife,2018,105,Drama,6.9,17265
6.875091131,"Don't Worry, He Won't Get Far on Foot","Don't Worry, He Won't Get Far on Foot",2018,114,"Biography,Comedy,Drama",6.9,16356
6.874806752,On the Basis of Sex,On the Basis of Sex,2018,120,"Biography,Drama",6.9,15603
6.874155904,Fahrenheit 11/9,Fahrenheit 11/9,2018,128,Documentary,6.9,13942
6.873051903,Sarkar,Sarkar,2018,163,"Action,Drama",6.9,11308
6.871277617,Hearts Beat Loud,Hearts Beat Loud,2018,97,"Comedy,Drama,Music",6.9,7499
6.8,Bumblebee,Bumblebee,2018,114,"Action,Adventure,Sci-Fi",6.8,108982
6.8,A Simple Favor,A Simple Favor,2018,117,"Comedy,Crime,Drama",6.8,98948
6.8,Mary Poppins Returns,Mary Poppins Returns,2018,130,"Comedy,Family,Fantasy",6.8,62311
6.835226094,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery",6.8,45418
6.836218825,The House That Jack Built,The House That Jack Built,2018,152,"Crime,Drama,Horror",6.8,42793
6.842737861,Arctic,Arctic,2018,98,"Adventure,Drama",6.8,28585
6.852474611,Teen Titans Go! To the Movies,Teen Titans Go! To the Movies,2018,84,"Action,Animation,Comedy",6.8,13938
6.854648104,A Futile and Stupid Gesture,A Futile and Stupid Gesture,2018,101,"Biography,Comedy",6.8,11381
6.857140751,Nothing to Hide,Le jeu,2018,90,"Comedy,Drama",6.8,8688
6.858001331,Black '47,Black '47,2018,100,"Action,Drama",6.8,7812
6.858790738,Kaala,Kaala,2018,162,"Action,Drama",6.8,7031
6.860077433,Sui Dhaaga: Made in India,Sui Dhaaga: Made in India,2018,122,"Comedy,Drama",6.8,5802
6.7,Venom,Venom,2018,112,"Action,Sci-Fi,Thriller",6.7,309088
6.8,The Equalizer 2,The Equalizer 2,2018,121,"Action,Crime,Thriller",6.7,107626
6.8,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,2018,114,"Comedy,Musical,Romance",6.7,65692
6.787233071,Alpha,Alpha,2018,96,"Adventure,Drama,Family",6.7,46043
6.802571635,The Old Man & the Gun,The Old Man & the Gun,2018,93,"Biography,Comedy,Crime",6.7,31628
6.810610321,Summer of 84,Summer of 84,2018,105,"Drama,Horror,Mystery",6.7,25670
6.816818289,22-Jul,22-Jul,2018,143,"Crime,Drama,History",6.7,21630
6.825325042,Calibre,Calibre,2018,101,"Drama,Thriller",6.7,16744
6.829613516,Colette,Colette,2018,111,"Biography,Drama,History",6.7,14524
6.832078928,Ben Is Back,Ben Is Back,2018,103,Drama,6.7,13313
6.83306544,The Professor,The Professor,2018,90,"Comedy,Drama",6.7,12841
6.834871017,A Private War,A Private War,2018,110,"Biography,Drama,War",6.7,11995
6.835562444,Forever My Girl,Forever My Girl,2018,108,"Drama,Music,Romance",6.7,11677
6.836380336,Batman: Gotham by Gaslight,Batman: Gotham by Gaslight,2018,78,"Action,Adventure,Animation",6.7,11305
6.836537562,Life Itself,Life Itself,2018,117,"Drama,Romance",6.7,11234
6.839352368,The Kindergarten Teacher,The Kindergarten Teacher,2018,96,Drama,6.7,9990
6.6,Bird Box,Bird Box,2018,124,"Drama,Horror,Sci-Fi",6.6,235791
6.7,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,134,"Adventure,Family,Fantasy",6.6,183146
6.7,Red Sparrow,Red Sparrow,2018,140,"Action,Drama,Thriller",6.6,144671
6.7,Halloween,Halloween,2018,106,"Horror,Thriller",6.6,98723
6.7,Overlord,Overlord,2018,110,"Action,Adventure,Horror",6.6,66150
6.7,12 Strong,12 Strong,2018,130,"Action,Drama,History",6.6,53699
6.735074129,Mandy,Mandy,2018,121,"Action,Fantasy,Horror",6.6,49179
6.747211124,Hunter Killer,Hunter Killer,2018,122,"Action,Thriller",6.6,40973
6.75287582,Adrift,Adrift,2018,96,"Action,Adventure,Biography",6.6,37589
6.774183948,Smallfoot,Smallfoot,2018,96,"Adventure,Animation,Comedy",6.6,26831
6.78400101,Dumplin',Dumplin',2018,110,"Comedy,Drama,Musical",6.6,22713
6.796544345,Midnight Sun,Midnight Sun,2018,91,"Drama,Romance",6.6,18050
6.806133403,The Miseducation of Cameron Post,The Miseducation of Cameron Post,2018,91,Drama,6.6,14868
6.808865084,"Juliet, Naked","Juliet, Naked",2018,97,"Comedy,Drama,Music",6.6,14015
6.815286804,Mulk,Mulk,2018,140,Drama,6.6,12095
6.817087535,Next Gen,Next Gen,2018,106,"Action,Adventure,Animation",6.6,11577
6.825987706,The Angel,The Angel,2018,114,"Drama,Thriller",6.6,9138
6.838377268,"Paul, Apostle of Christ","Paul, Apostle of Christ",2018,108,"Adventure,Biography,Drama",6.6,6046
6.6,Tag,Tag,2018,100,Comedy,6.5,93608
